Type	lambda	s	a	b	r	E[N]	Var[N]	P[N=0]	E[T]	Var[T]	E[T^r]
Uniform	1	14.85	-0.75	0.75	0.5	1.50505050505051	1.43026221814101	0.21357980733028	1.00008233702013	0.920369851553609	0.890931131684018
Uniform	1	15.05	-0.75	0.75	0.5	1.49833887043189	1.4249070098564	0.215173526710708	1.00007491647867	0.921600577450215	0.890953232237737
Uniform	1	15.25	-0.75	0.75	0.5	1.49180327868853	1.41951088417092	0.216715987572591	1.00006749593722	0.925406892040727	0.890500956689694
Uniform	1	15.45	-0.75	0.75	0.5	1.49838187702265	1.42694358039819	0.215393409342423	1.00006007539576	0.929197445457851	0.889988307299019
Uniform	1	15.65	-0.75	0.75	0.5	1.50479233226837	1.43386173177229	0.214075937538896	1.00005453113397	0.930930411666218	0.890262076655722
Uniform	1	15.85	-0.75	0.75	0.5	1.50473186119874	1.43460478261302	0.214180711301223	1.00005267219214	0.932230085265663	0.890123802441259
Uniform	1	16.05	-0.75	0.75	0.5	1.49844236760125	1.42950864219097	0.215668554073765	1.00004632149687	0.932874698527975	0.89041552206306
Uniform	1	16.25	-0.75	0.75	0.5	1.49230769230769	1.42437869822485	0.217111438154619	1.00003651484191	0.934309081293594	0.890293291630599
Uniform	1	16.45	-0.75	0.75	0.5	1.49848024316109	1.43130606701712	0.215862246143314	1.00002670818696	0.93679368393373	0.889946969537602
Uniform	1	16.65	-0.75	0.75	0.5	1.5045045045045	1.43778012246481	0.214617785230366	1.00001690153201	0.938672664520048	0.889893696624386
Uniform	1	16.85	-0.75	0.75	0.5	1.50445103857567	1.43843830622793	0.214710470204778	1.0000100759114	0.941537009597056	0.889428847361231
Uniform	1	17.05	-0.75	0.75	0.5	1.49853372434018	1.43357900258856	0.216105591791331	1.00001217368022	0.946033514443277	0.888738676153959
Uniform	1	17.25	-0.75	0.75	0.5	1.49275362318841	1.42869145137576	0.217460960775724	1.00001427144904	0.950083216786288	0.888322578193882
Uniform	1	17.45	-0.75	0.75	0.5	1.49856733524355	1.43517705109153	0.216277508859799	1.00001063313131	0.951380824377409	0.888476078733432
Uniform	1	17.65	-0.75	0.75	0.5	1.5042492917847	1.44126026209985	0.215098439730885	1.00000408523367	0.951693623149187	0.888849541661126
Uniform	1	17.85	-0.75	0.75	0.5	1.50420168067227	1.44184732716616	0.215181013520121	0.999997788318149	0.95369833841929	0.888665423162576
Uniform	1	18.05	-0.75	0.75	0.5	1.49861495844875	1.43720505520983	0.216494265880739	0.999992606134929	0.95581015614214	0.888331097849788
Uniform	1	18.25	-0.75	0.75	0.5	1.49315068493151	1.43253893788703	0.217772117243621	0.999994370868953	0.955262270935043	0.888794471345412
Uniform	1	18.45	-0.75	0.75	0.5	1.49864498644986	1.43863514515904	0.216647883895798	0.99999613560299	0.953887966457081	0.889657595237839
Uniform	1	18.65	-0.75	0.75	0.5	1.50402144772118	1.44437177008388	0.215527713446543	0.999997900337017	0.95461723943354	0.889249982918741
Uniform	1	18.85	-0.75	0.75	0.5	1.50397877984085	1.44489864841095	0.215601744694709	0.999999665071051	0.954778680965795	0.889337554067393
Uniform	1	19.05	-0.75	0.75	0.5	1.498687664042	1.44045576980043	0.216842183543573	1.00000030963308	0.954469115344155	0.889494058973623
Uniform	1	19.25	-0.75	0.75	0.5	1.4935064935065	1.43599257884972	0.218050895757038	0.999994239539276	0.95513269304318	0.889451347324202
Uniform	1	19.45	-0.75	0.75	0.5	1.4987146529563	1.44174304954368	0.216980276112608	0.999993778630188	0.956772671911311	0.889325778475103
Uniform	1	19.65	-0.75	0.75	0.5	1.50381679389313	1.44717026332317	0.215913427270504	0.999990261285278	0.95969485650118	0.888401401613256
Uniform	1	19.85	-0.75	0.75	0.5	1.50377833753149	1.44764575627026	0.215980176159813	0.999980662904224	0.96228366245978	0.888069223374749
Uniform	1	20.05	-0.75	0.75	0.5	1.49875311720698	1.44338654610357	0.217155436048896	0.999971064523174	0.963805108358706	0.888339795582389
Uniform	1	20.25	-0.75	0.75	0.5	1.49382716049383	1.43910989178479	0.218302099987198	0.999961466142136	0.966761333910251	0.887977115096565
Uniform	1	20.45	-0.75	0.75	0.5	1.49877750611247	1.44455138360005	0.217280243277758	0.999958685989709	0.968770146725433	0.8877381389763
Uniform	1	20.65	-0.75	0.75	0.5	1.50363196125908	1.44970070763151	0.216261891439585	0.999959585890716	0.970629084579722	0.887281381522775
Uniform	1	20.85	-0.75	0.75	0.5	1.50359712230216	1.45013198074634	0.216322381945386	0.999960485791737	0.971827267335602	0.887330620343985
Uniform	1	21.05	-0.75	0.75	0.5	1.49881235154394	1.44604239425415	0.217438958427931	0.999961385692757	0.97288372380322	0.886930047257537
Uniform	1	21.25	-0.75	0.75	0.5	1.49411764705883	1.44193771626298	0.218529628159292	0.999962285593758	0.972530689302414	0.886875859493014
Uniform	1	21.45	-0.75	0.75	0.5	1.4988344988345	1.44710146108747	0.217552309294069	0.999963185494783	0.96915640143083	0.887731215400252
Uniform	1	21.65	-0.75	0.75	0.5	1.50346420323326	1.4519998506579	0.216578253481055	0.999964085395798	0.966168907275897	0.887768918728997
Uniform	1	21.85	-0.75	0.75	0.5	1.50343249427918	1.45239279673665	0.216633326228711	0.999966970499564	0.961143079523027	0.888801484302558
Uniform	1	22.05	-0.75	0.75	0.5	1.49886621315193	1.44846026089952	0.21769679139156	0.999973075279129	0.959054627653325	0.888462597753221
Uniform	1	22.25	-0.75	0.75	0.5	1.49438202247191	1.44451458149224	0.218736676782525	0.999976674988372	0.957226451627835	0.8885799178813
Uniform	1	22.45	-0.75	0.75	0.5	1.4988864142539	1.44942733418981	0.217800193914625	0.999978263018226	0.956410306672891	0.88828003486639
Uniform	1	22.65	-0.75	0.75	0.5	1.50331125827814	1.4540980171435	0.216866754222357	0.999979851048087	0.956179428453016	0.88796973429499
Uniform	1	22.85	-0.75	0.75	0.5	1.50328227571116	1.45445752672984	0.216917105760613	0.999981439077941	0.954978341986756	0.888251676328156
Uniform	1	23.05	-0.75	0.75	0.5	1.49891540130152	1.45067075724282	0.21793227513589	0.999983027107803	0.954018837616798	0.88858161861051
Uniform	1	23.25	-0.75	0.75	0.5	1.49462365591398	1.44687247080587	0.218925891741673	0.999984615137663	0.954636947991414	0.888449061820826
Uniform	1	23.45	-0.75	0.75	0.5	1.49893390191897	1.45155732152518	0.218026983815941	0.999986203167527	0.955070509173183	0.888602908825512
Uniform	1	23.6499999999999	-0.75	0.75	0.5	1.50317124735729	1.45602045331629	0.217130919009819	0.999987791197389	0.954711294885242	0.888917832115162
Uniform	1	23.8499999999999	-0.75	0.75	0.5	1.50314465408805	1.45635061904197	0.217177131405434	0.999989379227246	0.954915446656957	0.889009639113102
Uniform	1	24.0499999999999	-0.75	0.75	0.5	1.4989604989605	1.45269946101547	0.218148194842275	0.999990967257102	0.955519992729537	0.889071755035633
Uniform	1	24.2499999999999	-0.75	0.75	0.5	1.49484536082474	1.44903815495802	0.219099481961936	0.999992555286962	0.956245367342588	0.889038883913647
Uniform	1	24.4499999999999	-0.75	0.75	0.5	1.49897750511247	1.453515165962	0.218235261781476	0.999994143316822	0.958937957696177	0.888809392205183
Uniform	1	24.6499999999999	-0.75	0.75	0.5	1.50304259634888	1.45778834720571	0.217373702492606	0.999986769723645	0.961684659920349	0.88836495217601
