k	x	y	x2	y2	col
562	-5.4422	-3.7054	-4.8481	-3.2408	281
564	-4.8481	-3.2408	-5.6022	-3.2375	282
566	-5.6022	-3.2375	-5.1485	-3.8397	283
568	-5.1485	-3.8397	-5.1183	-3.0865	284
570	-5.1183	-3.0865	-5.1246	-3.8401	285
572	-5.1246	-3.8401	-5.8318	-3.5801	286
574	-5.8318	-3.5801	-6.4537	-3.1548	287
576	-6.4537	-3.1548	-6.6640	-3.8782	288
578	-6.6640	-3.8782	-7.3214	-3.5106	289
580	-7.3214	-3.5106	-7.8732	-4.0229	290
582	-7.8732	-4.0229	-8.4148	-3.4999	291
584	-8.4148	-3.4999	-8.3377	-4.2487	292
586	-8.3377	-4.2487	-7.8750	-4.8423	293
588	-7.8750	-4.8423	-8.0393	-5.5766	294
590	-8.0393	-5.5766	-8.6850	-5.1904	295
592	-8.6850	-5.1904	-7.9398	-5.0880	296
594	-7.9398	-5.0880	-8.5331	-5.5503	297
596	-8.5331	-5.5503	-8.4492	-4.8030	298
598	-8.4492	-4.8030	-7.7117	-4.9494	299
600	-7.7117	-4.9494	-7.1606	-5.4607	300
602	-7.1606	-5.4607	-6.4259	-5.3020	301
604	-6.4259	-5.3020	-7.1765	-5.2644	302
606	-7.1765	-5.2644	-7.4936	-4.5832	303
608	-7.4936	-4.5832	-8.1540	-4.9413	304
610	-8.1540	-4.9413	-8.5316	-4.2919	305
612	-8.5316	-4.2919	-8.9895	-4.8872	306
614	-8.9895	-4.8872	-9.6565	-5.2321	307
616	-9.6565	-5.2321	-9.3608	-4.5421	308
618	-9.3608	-4.5421	-10.0936	-4.7045	309
620	-10.0936	-4.7045	-10.4002	-5.3895	310
622	-10.4002	-5.3895	-10.6781	-6.0866	311
624	-10.6781	-6.0866	-11.2473	-6.5754	312
626	-11.2473	-6.5754	-11.9956	-6.6273	313
628	-11.9956	-6.6273	-12.6950	-6.3563	314
630	-12.6950	-6.3563	-13.4217	-6.1710	315
632	-13.4217	-6.1710	-13.9530	-6.7000	316
634	-13.9530	-6.7000	-13.2048	-6.7468	317
636	-13.2048	-6.7468	-13.7770	-7.2310	318
638	-13.7770	-7.2310	-14.4973	-7.4380	319
640	-14.4973	-7.4380	-14.0858	-8.0642	320
642	-14.0858	-8.0642	-14.7832	-8.3378	321
644	-14.7832	-8.3378	-14.7897	-9.0869	322
646	-14.7897	-9.0869	-15.5182	-8.9128	323
648	-15.5182	-8.9128	-15.5000	-9.6615	324
650	-15.5000	-9.6615	-15.8444	-10.3263	325
652	-15.8444	-10.3263	-15.9577	-9.5863	326
654	-15.9577	-9.5863	-16.5480	-10.0466	327
656	-16.5480	-10.0466	-16.6976	-10.7799	328
658	-16.6976	-10.7799	-17.0917	-11.4160	329
660	-17.0917	-11.4160	-17.8371	-11.3509	330
662	-17.8371	-11.3509	-17.7908	-10.6042	331
664	-17.7908	-10.6042	-17.0541	-10.7335	332
666	-17.0541	-10.7335	-17.1440	-11.4759	333
668	-17.1440	-11.4759	-17.8334	-11.7654	334
670	-17.8334	-11.7654	-18.5768	-11.8446	335
672	-18.5768	-11.8446	-19.0585	-12.4162	336
674	-19.0585	-12.4162	-18.3206	-12.5347	337
676	-18.3206	-12.5347	-18.9943	-12.8580	338
678	-18.9943	-12.8580	-19.7313	-12.7356	339
680	-19.7313	-12.7356	-19.8360	-13.4753	340
682	-19.8360	-13.4753	-20.3723	-12.9554	341
684	-20.3723	-12.9554	-21.1039	-12.8051	342
686	-21.1039	-12.8051	-20.3836	-12.6083	343
688	-20.3836	-12.6083	-19.9269	-12.0176	344
690	-19.9269	-12.0176	-19.6117	-12.6943	345
692	-19.6117	-12.6943	-19.0297	-12.2269	346
694	-19.0297	-12.2269	-18.3240	-11.9842	347
696	-18.3240	-11.9842	-18.5696	-12.6888	348
698	-18.5696	-12.6888	-17.9184	-12.3247	349
700	-17.9184	-12.3247	-17.9078	-11.5788	350
702	-17.9078	-11.5788	-17.8491	-10.8352	351
704	-17.8491	-10.8352	-17.2220	-10.4316	352
706	-17.2220	-10.4316	-16.7882	-11.0381	353
708	-16.7882	-11.0381	-17.4960	-11.2723	354
710	-17.4960	-11.2723	-17.4345	-10.5294	355
712	-17.4345	-10.5294	-16.7314	-10.7767	356
714	-16.7314	-10.7767	-16.8810	-11.5068	357
716	-16.8810	-11.5068	-17.5088	-11.9081	358
718	-17.5088	-11.9081	-18.1042	-12.3561	359
720	-18.1042	-12.3561	-17.9086	-13.0749	360
722	-17.9086	-13.0749	-17.6657	-12.3708	361
724	-17.6657	-12.3708	-17.2106	-12.9603	362
726	-17.2106	-12.9603	-16.9718	-13.6656	363
728	-16.9718	-13.6656	-16.3103	-13.3239	364
730	-16.3103	-13.3239	-16.4821	-14.0482	365
732	-16.4821	-14.0482	-16.4853	-14.7926	366
734	-16.4853	-14.7926	-16.3504	-14.0607	367
736	-16.3504	-14.0607	-15.9657	-13.4237	368
738	-15.9657	-13.4237	-16.5320	-13.9063	369
740	-16.5320	-13.9063	-17.1271	-14.3526	370
742	-17.1271	-14.3526	-16.7629	-13.7041	371
744	-16.7629	-13.7041	-17.1820	-13.0897	372
746	-17.1820	-13.0897	-16.8104	-12.4455	373
748	-16.8104	-12.4455	-17.1812	-13.0900	374
750	-17.1812	-13.0900	-16.6410	-13.6007	375
752	-16.6410	-13.6007	-16.2515	-14.2338	376
754	-16.2515	-14.2338	-16.9137	-14.5713	377
756	-16.9137	-14.5713	-16.3851	-14.0491	378
758	-16.3851	-14.0491	-17.1236	-14.1304	379
760	-17.1236	-14.1304	-16.9496	-14.8527	380
762	-16.9496	-14.8527	-16.2230	-15.0072	381
764	-16.2230	-15.0072	-15.5870	-14.6237	382
766	-15.5870	-14.6237	-15.2640	-13.9549	383
768	-15.2640	-13.9549	-15.3759	-13.2208	384
770	-15.3759	-13.2208	-15.9886	-12.8016	385
772	-15.9886	-12.8016	-16.5876	-13.2402	386
