k	x	y	x2	y2	col
2523	24.7720	3.8436	24.41340618	4.126740615	2523
2524	24.4134	4.1267	24.52797064	3.684488276	2524
2525	24.5280	3.6845	24.77522395	4.068625515	2525
2526	24.7752	4.0686	24.31841158	4.069873839	2526
2527	24.3184	4.0699	24.49222144	3.647437193	2527
2528	24.4922	3.6474	24.86728819	3.908149701	2528
2529	24.8673	3.9081	24.59133195	4.272124618	2529
2530	24.5913	4.2721	24.19367551	4.04744161	2530
2531	24.1937	4.0474	24.2863543	3.600219898	2531
2532	24.2864	3.6002	24.7251436	3.473554615	2532
2533	24.7251	3.4736	25.09439517	3.742286735	2533
2534	25.0944	3.7423	25.18809556	4.189240265	2534
2535	25.1881	4.1892	25.03006283	4.617675123	2535
2536	25.0301	4.6177	24.72265042	4.955331662	2536
2537	24.7227	4.9553	24.35149838	5.221309212	2537
2538	24.3515	5.2213	23.97106163	5.473795557	2538
2539	23.9711	5.4738	23.62916155	5.776399896	2539
2540	23.6292	5.7764	23.39701159	6.169534775	2540
2541	23.3970	6.1695	23.3758531	6.625588013	2541
2542	23.3759	6.6256	23.63914572	6.998539533	2542
2543	23.6391	6.9985	24.09231052	7.053685866	2543
2544	24.0923	7.0537	24.38046662	6.699639066	2544
2545	24.3805	6.6996	24.16194077	6.298873357	2545
2546	24.1619	6.2989	23.72380377	6.426882386	2546
2547	23.7238	6.4269	23.83347631	6.86994662	2547
2548	23.8335	6.8699	24.25829928	6.703084162	2548
2549	24.2583	6.7031	23.97168747	6.34790116	2549
2550	23.9717	6.3479	23.78801127	6.765690593	2550
2551	23.7880	6.7657	24.23170065	6.658880643	2551
2552	24.2317	6.6589	23.83374969	6.435525879	2552
2553	23.8337	6.4355	24.0461705	6.839398883	2553
2554	24.0462	6.8394	24.0090447	6.384600712	2554
2555	24.0090	6.3846	23.9412942	6.83583599	2555
2556	23.9413	6.8358	24.03524073	6.389337202	2556
2557	24.0352	6.3893	23.99253544	6.843591643	2557
2558	23.9925	6.8436	23.90557694	6.395715784	2558
